loss,mae,mape,r2,rmse,status
0.0287372715394547,0.1086341465949106,29.76942629893145,-0.0019628234995405,0.136884153719321,ok
0.0287565930909158,0.1086675011662808,29.73814948895908,-0.0029960302935816,0.1369547118244415,ok
0.0187449133232025,0.1086501880106076,29.771918362829457,-0.0023714626765125,0.1369120641988958,ok
0.0187372715394547,0.1086341465949106,29.76942629893145,-0.0019628234995405,0.136884153719321,ok
0.018744039390735,0.1086415992708014,29.773011684025224,-0.0023247297335176,0.1369088725785696,ok
0.0187484912115254,0.1086453965779225,29.73260054940993,-0.0025627878157465,0.1369251299489084,ok
0.0141542142214554,0.0947223766782227,25.45378468364758,-0.0001220054077413,0.1189714849090127,ok
0.0141539004048493,0.0947224510092541,25.460501987615924,-9.98314538589451e-05,0.1189701660285021,ok
0.0141540171717999,0.0947222870967513,25.458479820748693,-0.0001080820847245,0.1189706567679606,ok
0.0141540171717999,0.0947222870967513,25.458479820748693,-0.0001080820847245,0.1189706567679606,ok
0.0141539004048493,0.0947224510092541,25.460501987615924,-9.98314538589451e-05,0.1189701660285021,ok
0.0141539004048493,0.0947224510092541,25.460501987615924,-9.98314538589451e-05,0.1189701660285021,ok
0.0141539004048493,0.0947224510092541,25.460501987615924,-9.98314538589451e-05,0.1189701660285021,ok
0.0141539004048493,0.0947224510092541,25.460501987615924,-9.98314538589451e-05,0.1189701660285021,ok
0.0141540171717999,0.0947222870967513,25.458479820748693,-0.0001080820847245,0.1189706567679606,ok
0.0141551370296535,0.0947388042546456,25.488536853126497,-0.0001872100719702,0.1189753631204947,ok
0.0141539004048493,0.0947224510092541,25.460501987615924,-9.98314538589451e-05,0.1189701660285021,ok
0.0141540171717999,0.0947222870967513,25.458479820748693,-0.0001080820847245,0.1189706567679606,ok
0.014154017171799907,0.09472228709675137,25.458479820748693,-0.00010808208472457004,0.11897065676796068,ok
